City,AQI,pm2.5/1h,pm10/1h,co/1h,co2/1h,o3/1h,o3/8h,so2/1h
中卫,53,36,45,0.67,19,89,58,8
周口,100,37,148,0.48,11,121,99,7
舟山,66,7,39,0.43,12,96,118,5
珠海,24,12,20,0.73,46,50,35,2
诸暨,66,39,61,0.5,12,130,117,5
驻马店,82,18,112,0.2,8,109,98,5
株洲,42,29,38,0.5,24,62,64,8
淄博,69,32,86,0.62,17,143,114,20
自贡,33,23,21,0.73,28,27,22,4
资阳,21,9,12,0.6,18,48,40,5
遵义,25,5,10,0.53,21,59,49,5
